"","1","2","3","4","5","6","9","11","70","143","MeanDecreaseAccuracy","MeanDecreaseGini"
"airconditioningtypeid",0,0.263523138347365,0,0,0,0,0,0,0,0,0.263523138347365,0.112584596260517
"architecturalstyletypeid",0,0,0,0,0,0,0,0,0,0,0,0
"basementsqft",0,0,0,0,0,0,0,0,0,0,0,0
"bathroomcnt",1.52412761810783,3.38770174739913,2.29947915550564,2.38053402035493,0,0,0,0,0,0,3.32538129865593,197.88565645096
"bedroomcnt",2.0727568537664,2.99934360025693,1.10240511340802,2.14533476829502,0,0,0,0,0,0,2.96660257409536,174.594398985328
"buildingclasstypeid",0,0,0,0,0,0,0,0,0,0,0,0
"buildingqualitytypeid",0.571924475255951,1.82489983672771,1.15277122323126,1.27231140155387,0,0,0,0,0,0,0.870685085850413,34.6680512868572
"calculatedbathnbr",1.00426162826008,2.31787419912406,2.34967466065285,2.14451423267952,0,0,0,0,0,0,2.35644041572386,120.199107736475
"decktypeid",0,0,0,0,0,0,0,0,0,0,0,0
"finishedfloor1squarefeet",0.709372514413179,0.359314539899948,0.263523138347365,0.263523138347365,0,0,0,0,0,0,0.716717765806529,0.604792883712061
"calculatedfinishedsquarefeet",1.10026145571872,2.37888223860983,2.01329051252415,2.94551824123401,0,0,0,0,0,0,1.32428644758804,104.924781949106
"finishedsquarefeet12",1.29801505910077,1.8116457310834,1.91213319331476,1.74642280893035,0,0,0,0,0,0,1.66462200245757,262.035740691915
"finishedsquarefeet13",0,0,0,0,0,0,0,0,0,0,0,0
"finishedsquarefeet15",2.49782003372777,2.23281282727146,1.74860156593605,2.02213002604741,0,0,0,0,0,0,2.67281082229502,1157.5616306189
"finishedsquarefeet50",0.439782559555437,0.557158105585316,0.309053843506609,0.263523138347365,0,0,0,0,0,0,0.464289772098155,0.857516516324573
"finishedsquarefeet6",1.46030245707631,0.355566003553859,0.752990039893638,1.82704979146123,0,0,0,0,0,0,1.9067506921541,42.4484687679288
"fips",0.663253470486334,0.776865580454801,0.835031720892716,0.801340938245408,0,0,0,0,0,0,0.708595843383796,94.5586973498849
"fireplacecnt",0.353467250375005,0.350705114367616,0.263523138347365,0.00502818091575597,0,0,0,0,0,0,0.517293987890818,0.324246885709021
"fullbathcnt",1.09453832413996,2.3493671609714,2.25167872290272,2.22666659036117,0,0,0,0,0,0,2.4011402581547,101.749989560878
"garagecarcnt",0.778949107003307,0.808307340032969,0.411935818755636,1.00269788204299,0,0,0,0,0,0,1.08744327626516,15.622733048678
"garagetotalsqft",0.792414131222135,0.852856033513103,0.662412164148971,0.93889371538365,0,0,0,0,0,0,1.29866627375708,15.349210650625
"heatingorsystemtypeid",0.724485507821208,1.7551670567277,1.44696370957562,0.976150784288204,0,0,0,0,0,0,2.06382068888419,22.6777885586255
"latitude",1.24124799117367,2.70339033870158,1.9177602884335,1.60094071895884,0,0,0,0,0,0,2.06688584189732,41.460724386759
"longitude",0.697308920711953,2.37207405949557,1.41620903590421,1.72911762260134,0,0,0,0,0,0,1.12648413751491,28.6300694909294
"lotsizesquarefeet",0.691033533782008,1.58001987924304,1.17858077775288,1.55782842977504,0,0,0,0,0,0,1.15042504557736,29.7289851550294
"poolcnt",0,0,0,0,0,0,0,0,0,0,0,0
"poolsizesum",0,0,0,0,0,0,0,0,0,0,0,0.0107142857142857
"pooltypeid10",0,0,0,0,0,0,0,0,0,0,0,0
"pooltypeid2",0,0,0,0,0,0,0,0,0,0,0,0
"pooltypeid7",0,0,0,0,0,0,0,0,0,0,0,0
"propertycountylandusecode",1.87291277616445,4.27802570190443,6.85443918604356,6.31720219863455,0,0,0,0,0,0,2.86725594359207,1145.0129003458
"propertylandusetypeid",7.36637019885374,6.41048420911756,7.59324169506984,7.20761133573649,0,0,0,0,0,0,8.67867075251426,3242.16818662613
"rawcensustractandblock",1.19354440222026,2.25020003496449,2.19633704579184,1.79616393165813,0,0,0,0,0,0,1.40056632804888,147.841949914625
"regionidcity",0.708536958892318,1.39422684892393,0.32185021990375,0.93201556601538,0,0,0,0,0,0,0.905550916002882,13.0208688588405
"regionidcounty",0.6389178285933,0.824166770865053,1.01511912109407,0.812575509679021,0,0,0,0,0,0,0.690903024826586,45.166211047443
"regionidneighborhood",0.591171697664219,0.50925938062039,0.379820603281927,0.677395645423682,0,0,0,0,0,0,0.975532808647114,10.7856512081302
"regionidzip",1.26635042745699,1.79569357651306,0.979537442132323,0.844254311056137,0,0,0,0,0,0,1.37035435464735,111.895613635566
"roomcnt",0.585699792269126,0.701637330747367,0.685775092791758,0.741504588707736,0,0,0,0,0,0,0.964632315453858,9.23453167948079
"storytypeid",0,0,0,0,0,0,0,0,0,0,0,0
"threequarterbathnbr",0,0,0,0,0,0,0,0,0,0,0,0.112239317301543
"typeconstructiontypeid",0,0,0,0,0,0,0,0,0,0,0,0
"yardbuildingsqft17",-0.263523138347365,0,0,0.263523138347365,0,0,0,0,0,0,5.05661294925979e-05,0.0824300018242262
"yardbuildingsqft26",-0.000912248442479475,0,0,0,0,0,0,0,0,0,-0.00113615693258823,0.0298077283226576
"yearbuilt",1.56623702366657,1.95703606242966,1.90815254836646,1.88720675671333,0,0,0,0,0,0,2.24722478452695,101.026240230528
"numberofstories",0.57185521583024,0.987272273532837,1.09922725754575,0.872166402432308,0,0,0,0,0,0,1.24645093905296,6.49540308060242
"structuretaxvaluedollarcnt",1.67618129498227,1.60683775474135,0.886486239033638,1.16853743169098,0,0,0,0,0,0,2.4938631150741,35.0582114556702
"taxvaluedollarcnt",0.793166658446561,1.4391246296969,1.00608782495829,1.12975765289125,0,0,0,0,0,0,1.03960044089601,25.6063608861242
"assessmentyear",0,0,0,0,0,0,0,0,0,0,0,0
"landtaxvaluedollarcnt",0.561719184706859,1.87872706814753,0.625466221319576,1.11862840207103,0,0,0,0,0,0,0.899839536708193,19.6010440660931
"taxamount",0.989173961731334,1.51031043739095,0.653601439452235,0.980235246152024,0,0,0,0,0,0,1.58138213601758,24.6757687001588
"taxdelinquencyyear",0.263523138347365,-0.83748799527125,-0.497256625053567,-0.152494662124256,0,0,0,0,0,0,-0.921665865551076,1.20229332325947
"censustractandblock",1.07468645542842,1.96669693051401,1.45175614132581,1.62163204719785,0,0,0,0,0,0,1.51910490159022,80.0579079141879
