Name,%IncMSE,IncNodePurity
parcelid,10.56821485,106.4486525
transactiondate,-0.017711362,107.0330769
airconditioningtypeid,2.307046513,2.954802822
architecturalstyletypeid,-2.871007242,0.111892805
basementsqft,4.281424863,0.662927117
bathroomcnt,6.994681114,25.04982216
bedroomcnt,9.518174536,41.38547221
buildingclasstypeid,0,0
buildingqualitytypeid,3.514551353,17.64845102
calculatedbathnbr,3.205536857,22.5634106
decktypeid,0,0
finishedfloor1squarefeet,1.87563275,8.746524156
calculatedfinishedsquarefeet,13.49354357,108.2435375
finishedsquarefeet12,10.88057005,101.4037379
finishedsquarefeet13,-2.435984242,0.089070309
finishedsquarefeet15,3.099683302,20.51004382
finishedsquarefeet50,5.164154936,9.259418303
finishedsquarefeet6,3.669241402,4.701688867
fips,2.397835879,1.796809491
fireplacecnt,-0.324106998,1.515617791
fullbathcnt,2.850788915,17.55037032
garagecarcnt,2.768329286,6.455094109
garagetotalsqft,7.145129058,18.84092717
heatingorsystemtypeid,6.484091615,9.782969898
latitude,15.1898897,112.680904
longitude,11.12573937,109.7313038
lotsizesquarefeet,12.28179587,115.6235841
poolcnt,0,0
poolsizesum,-1.128830886,0.945609896
pooltypeid10,0,0
pooltypeid2,0,0
pooltypeid7,0,0
propertycountylandusecode,7.700708068,23.12500743
propertylandusetypeid,8.141266282,21.63998426
rawcensustractandblock,14.20158489,87.8182367
regionidcity,14.33359667,43.97194319
regionidcounty,2.600460871,1.967026447
regionidneighborhood,6.993455772,47.7361238
regionidzip,11.40129124,76.39332712
roomcnt,3.735381566,17.69371408
storytypeid,0,0
threequarterbathnbr,0.900460355,0.828781574
typeconstructiontypeid,0,0.000141419
unitcnt,3.346047388,5.169845097
yardbuildingsqft17,1.647132461,5.023380999
yardbuildingsqft26,-1.02705486,0.391654514
yearbuilt,22.0793154,86.36260562
numberofstories,3.847963719,3.345645402
structuretaxvaluedollarcnt,18.17209754,122.4902207
taxvaluedollarcnt,14.35386373,116.8810198
assessmentyear,0,0
landtaxvaluedollarcnt,16.84621179,111.5552501
taxamount,18.21106616,128.8545443
taxdelinquencyyear,2.914870133,12.68814441
censustractandblock,9.508284836,90.39874529
